0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:21:19 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:21:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:27 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:32 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:55 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:22:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:23:12 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:23:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:26:05 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3580
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:26:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:26:17 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:26:17 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:26:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:08 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:14 +0530] "GET /Project_4/ctl/CollegeCtl HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:21 +0530] "GET /Project_4/ctl/UserCtl HTTP/1.1" 200 7009
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:21 +0530] "GET /Project_4/js/CheckBox11.js HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:21 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:22 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:27:22 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:30:48 +0530] "GET /project_4/ HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:31:07 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 5172
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:31:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:31:28 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 5172
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:31:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:34:23 +0530] "GET /Project_4/ForgetPasswordCtl HTTP/1.1" 200 3969
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:34:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:34:55 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 4034
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:34:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:36:08 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 4014
