127.0.0.1 - - [29/Jun/2022:15:33:47 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:50 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:52 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:58 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:33:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:34:10 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:34:10 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 3195
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:34:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:34:14 +0530] "GET /Project_4/ctl/UserListCtl HTTP/1.1" 200 12721
0:0:0:0:0:0:0:1 - - [29/Jun/2022:15:34:14 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:02:30 +0530] "POST /Project_4/ctl/UserListCtl HTTP/1.1" 200 3654
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:02:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:03:50 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:03:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:04:02 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [29/Jun/2022:17:04:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
