127.0.0.1 - - [03/Jul/2022:08:04:33 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:36 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:36 +0530] "GET /Project_4/img/rays.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:47 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:47 +0530] "GET /Project_4/img/rays.jpg HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:49 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:49 +0530] "GET /Project_4/img/rays.jpg HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:04:53 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:36 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:39 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:52 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 200 3587
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:57 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:57 +0530] "GET /Project_4/UserRegistrationCtl HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:06:57 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:29 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 5994
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:29 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:41 +0530] "POST /Project_4/UserRegistrationCtl HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:41 +0530] "GET /Project_4/js/calendar.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:47 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:49 +0530] "GET /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2377
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:08:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:09:05 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:09:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:09:06 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2443
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:31 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:33 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:46 +0530] "POST /Project_4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:46 +0530] "GET /Project_4/WelcomeCtl HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:10:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /Project_4/ctl/TimeTableListCtl HTTP/1.1" 200 6339
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /Project_4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /Project_4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:08 +0530] "GET /Project_4/img/logo.png HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:13 +0530] "GET /Project_4/ctl/CourseListCtl HTTP/1.1" 200 6767
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:16 +0530] "GET /Project_4/ctl/ChangePasswordCtl HTTP/1.1" 200 4067
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/Jul/2022:08:11:22 +0530] "GET /Project_4/LoginCtl?operation=logout HTTP/1.1" 200 3547
