0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:51:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:52:18 +0530] "POST /Project_4/ForgetPasswordCtl HTTP/1.1" 200 2442
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:52:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:01 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:27 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:40 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:40 +0530] "GET /Project_4/img/rays.jpg HTTP/1.1" 200 22178
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:53:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:54:08 +0530] "GET /Project_4/ HTTP/1.1" 200 396
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:54:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:03 +0530] "GET /Project_4/LoginCtl/ HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:09 +0530] "GET /Project_4/LoginCtl HTTP/1.1" 200 3519
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:23 +0530] "GET /Project_4/LoginCtl/ctl HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [19/Jul/2022:16:57:40 +0530] "GET /Project_4/ctl HTTP/1.1" 200 3642
